Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Term Source 2 REF,Term Source 2 Accession,Characteristics [Sex],Term Source 3 REF,Term Source 3 Accession,Characteristics [Organism Part],Term Source 4 REF,Term Source 4 Accession,Experimental Condition [Class],Experimental Condition [Mouse ID],Experimental Condition [Sample ID],Experimental Condition [Score],Experimental Condition [Acquisition date],Experimental Condition [Acquisition time],Experimental Condition [Label_1],Assay Name,Source Name,Experimental Condition [treated],Comment [Image File Path],Comment [Image File Type],Comment [Image Type],Comment [Voxel Size],Comment [Volume Size],Channels
Normal,T0011.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,7,21/04/2015,16:59:23,,octmos-normal,T0011,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0011.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Normal,T0012.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,7,21/04/2015,17:04:00,,octmos-normal,T0012,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0012.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x533,grayscale
Normal,T0013.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,6,21/04/2015,17:12:43,,octmos-normal,T0013,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0013.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x502,grayscale
Normal,T0014.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,6,21/04/2015,17:18:35,,octmos-normal,T0014,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0014.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Normal,T0015.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,6,21/04/2015,17:25:25,,octmos-normal,T0015,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0015.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x505,grayscale
Normal,T0016.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,7,21/04/2015,17:31:29,,octmos-normal,T0016,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0016.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x502,grayscale
Normal,T0017.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,6,21/04/2015,17:37:43,,octmos-normal,T0017,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0017.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x508,grayscale
Papilloma,T0022.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,7,28/04/2015,13:29:48,,octmos-papilloma,T0022,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0022.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x523,grayscale
Papilloma,T0024.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,7,28/04/2015,13:47:55,,octmos-papilloma,T0024,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0024.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Papilloma,T0025.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,7,28/04/2015,13:53:49,,octmos-papilloma,T0025,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0025.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x579,grayscale
Papilloma,T0026.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,6,28/04/2015,14:00:13,,octmos-papilloma,T0026,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0026.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x579,grayscale
Papilloma,T0027.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,6,28/04/2015,14:05:31,,octmos-papilloma,T0027,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0027.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Papilloma,T0028.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,6,28/04/2015,14:10:13,,octmos-papilloma,T0028,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0028.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Papilloma,T0029.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,7,28/04/2015,14:15:21,,octmos-papilloma,T0029,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0029.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Papilloma,T0030.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,7,28/04/2015,14:19:58,,octmos-papilloma,T0030,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0030.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Papilloma,T0031.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,6,28/04/2015,14:25:37,,octmos-papilloma,T0031,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0031.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Papilloma,T0032.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,4,5,28/04/2015,14:30:25,,octmos-papilloma,T0032,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0032.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Papilloma,T0033.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,5,7,28/04/2015,14:41:55,,octmos-papilloma,T0033,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0033.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x578,grayscale
Papilloma,T0034.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,5,7,28/04/2015,14:49:01,,octmos-papilloma,T0034,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0034.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x580,grayscale
Papilloma,T0035.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,5,7,28/04/2015,15:00:50,,octmos-papilloma,T0035,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0035.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x579,grayscale
Papilloma,T0036.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,5,6,28/04/2015,15:04:56,,octmos-papilloma,T0036,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0036.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x578,grayscale
Papilloma,T0037.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,5,6,28/04/2015,15:13:00,,octmos-papilloma,T0037,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0037.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x581,grayscale
Papilloma,T0038.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,5,6,28/04/2015,15:17:45,,octmos-papilloma,T0038,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0038.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x578,grayscale
SCC,T0040.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,6,6,28/04/2015,15:32:04,,octmos-scc,T0040,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0040.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x581,grayscale
SCC,T0041.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,6,6,28/04/2015,15:37:39,,octmos-scc,T0041,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0041.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x578,grayscale
SCC,T0042.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,6,7,28/04/2015,15:41:23,,octmos-scc,T0042,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0042.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x579,grayscale
SCC,T0043.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,7,7,28/04/2015,17:08:17,,octmos-scc,T0043,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0043.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x581,grayscale
SCC,T0044.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,7,8,28/04/2015,17:11:48,,octmos-scc,T0044,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0044.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x579,grayscale
SCC,T0045.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,7,6,28/04/2015,17:15:25,,octmos-scc,T0045,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0045.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x578,grayscale
SCC,T0046.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,7,6,28/04/2015,17:19:54,,octmos-scc,T0046,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0046.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x579,grayscale
SCC,T0047.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,7,6,28/04/2015,17:23:11,,octmos-scc,T0047,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0047.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x578,grayscale
SCC,T0048.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,7,7,28/04/2015,17:27:02,6,octmos-scc,T0048,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0048.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x579,grayscale
SCC,T0049.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,8,6,05/05/2015,12:07:45,,octmos-scc,T0049,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0049.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x539,grayscale
SCC,T0050.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,8,7,05/05/2015,12:18:09,,octmos-scc,T0050,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0050.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x511,grayscale
SCC,T0051.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,8,6,05/05/2015,12:23:00,,octmos-scc,T0051,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0051.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x542,grayscale
SCC,T0052.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,8,7,05/05/2015,12:27:48,,octmos-scc,T0052,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0052.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x542,grayscale
Papilloma,T0053.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,9,5,05/05/2015,12:35:44,,octmos-papilloma,T0053,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0053.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x542,grayscale
Papilloma,T0054.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,9,6,05/05/2015,12:40:02,,octmos-papilloma,T0054,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0054.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x541,grayscale
Papilloma,T0055.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,9,6,05/05/2015,12:45:10,,octmos-papilloma,T0055,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0055.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x542,grayscale
Papilloma,T0056.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,9,5,05/05/2015,12:48:44,,octmos-papilloma,T0056,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0056.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x515,grayscale
Papilloma,T0057.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,10,5,05/05/2015,13:32:09,,octmos-papilloma,T0057,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0057.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x541,grayscale
SCC,T0058.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,11,5,05/05/2015,14:55:50,,octmos-scc,T0058,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0058.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
SCC,T0059.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,11,6,05/05/2015,14:57:59,,octmos-scc,T0059,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0059.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
SCC,T0060.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,11,7,05/05/2015,15:00:08,,octmos-scc,T0060,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0060.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
SCC,T0061.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,11,6,05/05/2015,15:02:17,,octmos-scc,T0061,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0061.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
SCC,T0062.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,12,6,05/05/2015,15:16:06,4,octmos-scc,T0062,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0062.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
SCC,T0063.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,12,6,05/05/2015,15:18:15,5,octmos-scc,T0063,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0063.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
SCC,T0064.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,12,7,05/05/2015,15:20:24,4,octmos-scc,T0064,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0064.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
SCC,T0065.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,12,7,05/05/2015,15:22:33,6,octmos-scc,T0065,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0065.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
SCC,T0069.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,13,6,05/05/2015,15:47:53,,octmos-scc,T0069,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0069.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
Papilloma,T0071.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,14,5,05/05/2015,15:53:50,,octmos-papilloma,T0071,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0071.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
Papilloma,T0073.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,Papilloma,,14,5,05/05/2015,15:58:09,,octmos-papilloma,T0073,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0073.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x500,grayscale
